EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
0	15:27:50	0	0.2000	0.8469289042328899	0.25190484523773193	0.9825	0.9801	0.9813
1	15:40:45	0	0.2000	0.5454743009551204	0.4083496034145355	0.9512	0.9515	0.9513
2	15:53:39	1	0.2000	0.5043569383173913	0.1793520450592041	0.9866	0.9858	0.9862
3	16:06:42	0	0.2000	0.4664386951701152	0.176646426320076	0.9862	0.9872	0.9867
4	16:19:44	0	0.2000	0.4369982451612664	0.18764707446098328	0.9863	0.9855	0.9859
5	16:32:49	1	0.2000	0.4393809974301098	0.16362281143665314	0.9875	0.9875	0.9875
6	16:46:10	0	0.2000	0.4165395494691593	0.1714547872543335	0.9885	0.988	0.9882
7	16:59:10	0	0.2000	0.41150202703848704	0.17105259001255035	0.9877	0.9872	0.9874
8	17:12:13	1	0.2000	0.3999745330750333	0.16877824068069458	0.9875	0.987	0.9872
9	17:25:11	2	0.2000	0.39858678221630894	0.16269823908805847	0.9892	0.9893	0.9892
10	17:38:03	0	0.2000	0.3886005957300091	0.18367600440979004	0.9873	0.987	0.9871
11	17:51:02	1	0.2000	0.3847995088964934	0.16475068032741547	0.9905	0.9893	0.9899
12	18:03:55	0	0.2000	0.3768968692545567	0.17735600471496582	0.9902	0.99	0.9901
13	18:16:53	0	0.2000	0.38254273482567563	0.16398906707763672	0.9904	0.9895	0.9899
14	18:29:50	1	0.2000	0.3650177696420712	0.18679141998291016	0.9878	0.9882	0.988
