EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	21:28:33	0	0.1000	0.9660414275361764	0.18879428505897522	0.9857	0.9822	0.9839	0.19457325339317322	0.9849	0.9826	0.9837
1	21:37:20	0	0.1000	0.4368224278560223	0.1624998301267624	0.987	0.9866	0.9868	0.17104275524616241	0.9867	0.9858	0.9862
2	21:46:11	0	0.1000	0.35293314714947777	0.11405134201049805	0.9901	0.9897	0.9899	0.14464828372001648	0.9889	0.9874	0.9881
3	21:55:06	0	0.1000	0.32322142613117266	0.10985426604747772	0.9901	0.9891	0.9896	0.13250383734703064	0.9889	0.9877	0.9883
4	22:03:53	1	0.1000	0.29844951970066	0.11724032461643219	0.9901	0.9916	0.9908	0.11723030358552933	0.9906	0.9903	0.9904
5	22:12:45	0	0.1000	0.276529939117317	0.11316575109958649	0.9908	0.9922	0.9915	0.12922550737857819	0.9899	0.9906	0.9902
6	22:21:39	0	0.1000	0.2447946283744826	0.10847104340791702	0.99	0.9933	0.9916	0.11894156038761139	0.9898	0.9906	0.9902
7	22:30:31	0	0.1000	0.24351434024397978	0.1048380509018898	0.991	0.9922	0.9916	0.13095028698444366	0.9903	0.991	0.9906
8	22:39:21	1	0.1000	0.2307259850925657	0.10288769006729126	0.9912	0.9931	0.9921	0.11842628568410873	0.991	0.9915	0.9912
9	22:48:14	0	0.1000	0.21560005368210708	0.11110819876194	0.9912	0.9931	0.9921	0.12483483552932739	0.9908	0.991	0.9909
10	22:57:06	1	0.1000	0.21385797759382405	0.10657145082950592	0.9922	0.9933	0.9927	0.12491602450609207	0.991	0.991	0.991
11	23:05:55	0	0.1000	0.20115913473612163	0.10376597195863724	0.9908	0.9929	0.9918	0.12549513578414917	0.9903	0.991	0.9906
12	23:14:42	1	0.1000	0.19060350698714426	0.10326649993658066	0.992	0.9939	0.9929	0.12711018323898315	0.9898	0.9904	0.9901
13	23:23:31	0	0.1000	0.18321108106715367	0.10694971680641174	0.9914	0.9937	0.9925	0.13135582208633423	0.9901	0.9911	0.9906
14	23:32:15	1	0.1000	0.1780702087259245	0.11970440298318863	0.991	0.9933	0.9921	0.13527674973011017	0.9894	0.9908	0.9901
15	23:41:04	2	0.1000	0.17716672056981064	0.09853218495845795	0.9931	0.9943	0.9937	0.12856553494930267	0.9913	0.9915	0.9914
16	23:49:55	0	0.1000	0.17444390811041027	0.09955653548240662	0.9929	0.9939	0.9934	0.12032502144575119	0.991	0.9908	0.9909
17	23:58:48	1	0.1000	0.1768243539389086	0.11299093812704086	0.9922	0.9941	0.9931	0.13818207383155823	0.9908	0.9915	0.9911
18	00:07:41	2	0.1000	0.16516903516604411	0.09294913709163666	0.9927	0.9929	0.9928	0.12654054164886475	0.9911	0.9903	0.9907
19	00:16:34	3	0.1000	0.15554430670215036	0.097296804189682	0.992	0.9927	0.9923	0.13359993696212769	0.9908	0.9908	0.9908
20	00:25:27	0	0.0500	0.1544295432333478	0.11268546432256699	0.991	0.9931	0.992	0.13309359550476074	0.9905	0.9918	0.9911
21	00:34:17	1	0.0500	0.14408067533212576	0.1017172634601593	0.9914	0.9931	0.9922	0.13305050134658813	0.9906	0.9913	0.9909
22	00:43:11	2	0.0500	0.13376298364383743	0.11629840731620789	0.991	0.9935	0.9922	0.13362574577331543	0.9896	0.991	0.9903
23	00:52:03	3	0.0500	0.12695762333904972	0.10792660713195801	0.9912	0.9931	0.9921	0.13257832825183868	0.9899	0.991	0.9904
24	01:00:52	0	0.0250	0.1284100798082475	0.10869424045085907	0.9925	0.9945	0.9935	0.1311938464641571	0.9913	0.9923	0.9918
25	01:09:42	1	0.0250	0.12911609137703278	0.10782033205032349	0.9916	0.9933	0.9924	0.1312195062637329	0.991	0.992	0.9915
26	01:18:36	2	0.0250	0.11740108280652312	0.1108381450176239	0.992	0.9935	0.9927	0.13555751740932465	0.9906	0.9915	0.991
27	01:27:32	3	0.0250	0.11839038647248415	0.1141522079706192	0.991	0.9929	0.9919	0.1353553831577301	0.9906	0.9916	0.9911
28	01:36:26	0	0.0125	0.11472838483974786	0.1139444038271904	0.9912	0.9931	0.9921	0.13562968373298645	0.9908	0.9918	0.9913
29	01:45:18	1	0.0125	0.11507945699379614	0.11523114889860153	0.991	0.9933	0.9921	0.13771963119506836	0.991	0.992	0.9915
