EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	01:27:00	0	0.1000	0.9713698697678836	0.1800174117088318	0.9863	0.9872	0.9867	0.2146548181772232	0.9821	0.984	0.983
1	01:35:29	0	0.1000	0.4149301313323739	0.16925665736198425	0.9885	0.9855	0.987	0.19609814882278442	0.9865	0.9842	0.9853
2	01:43:55	0	0.1000	0.35235996297848077	0.1557062417268753	0.9891	0.9878	0.9884	0.17756816744804382	0.9872	0.9869	0.987
3	01:52:22	0	0.1000	0.3162290213284669	0.1235712319612503	0.9907	0.9914	0.991	0.147064208984375	0.988	0.9894	0.9887
4	02:00:54	0	0.1000	0.27826957570181954	0.12673458456993103	0.9916	0.9908	0.9912	0.1493443101644516	0.9885	0.9896	0.989
5	02:09:24	0	0.1000	0.269281914057555	0.12181178480386734	0.9905	0.9907	0.9906	0.13037337362766266	0.9899	0.991	0.9904
6	02:17:51	1	0.1000	0.25048512816429136	0.13672831654548645	0.9899	0.9905	0.9902	0.14297062158584595	0.9889	0.9903	0.9896
7	02:26:17	2	0.1000	0.2430968843124531	0.12028961628675461	0.9916	0.9908	0.9912	0.138169527053833	0.9908	0.9903	0.9905
8	02:34:46	3	0.1000	0.23169174989064534	0.1258125901222229	0.992	0.9908	0.9914	0.15208479762077332	0.9903	0.9896	0.9899
9	02:43:08	0	0.1000	0.21686492790410547	0.11438024789094925	0.9916	0.9914	0.9915	0.1454792618751526	0.9906	0.9903	0.9904
10	02:51:24	0	0.1000	0.20616254519533228	0.12178638577461243	0.991	0.9907	0.9908	0.1591789275407791	0.9898	0.9903	0.99
11	02:59:42	1	0.1000	0.19856468041737874	0.11897877603769302	0.9916	0.9914	0.9915	0.1478773057460785	0.9905	0.9905	0.9905
12	03:08:04	2	0.1000	0.19685625319863542	0.1149001270532608	0.9927	0.9918	0.9922	0.16017082333564758	0.9905	0.9901	0.9903
13	03:16:35	0	0.1000	0.19469932361885353	0.1147039458155632	0.9933	0.9924	0.9928	0.1581304520368576	0.9894	0.9898	0.9896
14	03:25:17	0	0.1000	0.18743383229514698	0.12622462213039398	0.9914	0.9914	0.9914	0.15119706094264984	0.9905	0.9903	0.9904
15	03:33:54	1	0.1000	0.17444187836882508	0.12868750095367432	0.9924	0.9914	0.9919	0.15361380577087402	0.9901	0.9899	0.99
16	03:42:31	2	0.1000	0.1727768533023787	0.12205148488283157	0.9914	0.9918	0.9916	0.16396747529506683	0.9892	0.9901	0.9896
17	03:51:06	3	0.1000	0.17867760054859114	0.12540669739246368	0.9914	0.9918	0.9916	0.18646514415740967	0.9869	0.9894	0.9881
18	03:59:44	0	0.0500	0.1529438806168827	0.12401682138442993	0.9922	0.9918	0.992	0.15763632953166962	0.9899	0.991	0.9904
19	04:08:21	1	0.0500	0.14692501043096	0.12088199704885483	0.992	0.9918	0.9919	0.15145844221115112	0.9898	0.991	0.9904
20	04:16:58	2	0.0500	0.1420244640774197	0.12317265570163727	0.9922	0.9926	0.9924	0.15793059766292572	0.9896	0.9912	0.9904
21	04:25:34	3	0.0500	0.12400309877631105	0.12510237097740173	0.9918	0.9916	0.9917	0.16659174859523773	0.9896	0.9905	0.99
22	04:33:54	0	0.0250	0.12094937570301104	0.126345694065094	0.9922	0.9922	0.9922	0.17091050744056702	0.9894	0.9903	0.9898
23	04:42:02	1	0.0250	0.11228592064645555	0.12242776155471802	0.9924	0.9924	0.9924	0.16191188991069794	0.9899	0.9908	0.9903
24	04:50:11	2	0.0250	0.11810035617263229	0.1241484135389328	0.9916	0.9916	0.9916	0.16011077165603638	0.9901	0.9903	0.9902
25	04:58:22	3	0.0250	0.10669865505194959	0.12603572010993958	0.9918	0.9916	0.9917	0.15939302742481232	0.991	0.9914	0.9912
26	05:06:56	0	0.0125	0.11079228145104868	0.1262255311012268	0.992	0.992	0.992	0.16442465782165527	0.9905	0.9907	0.9906
27	05:15:27	1	0.0125	0.11340790457195705	0.1289679855108261	0.9922	0.992	0.9921	0.1661013811826706	0.9894	0.9898	0.9896
28	05:24:04	2	0.0125	0.11156094839543472	0.12562325596809387	0.9918	0.9918	0.9918	0.16532573103904724	0.9899	0.9905	0.9902
29	05:32:39	3	0.0125	0.1016385241791054	0.12491559237241745	0.9924	0.9922	0.9923	0.16779831051826477	0.9905	0.9905	0.9905
